"","USD","Age","Political View","CSS112 Score"
"1",20,100,-1.051,10139.79
"2",40,12,-0.953,318.96
"3",1320,6,-1.591,2834.83
"4",2140,53,1.27,6964.28
"5",3700,13,-0.822,7652.38
"6",2420,89,0.151,12751.47
"7",820,2,0.716,1566.04
"8",1420,4,0.799,2781.88
"9",2940,79,-0.145,12133.43
"10",2620,89,-2.424,13404.86
"11",760,40,1.174,2997.73
"12",1160,64,-1.915,6614.69
"13",3500,17,-0.565,7351.98
"14",1060,46,0.623,4174.4
"15",1520,37,0.213,4384.74
"16",320,74,-0.616,6185.06
"17",3080,64,-1.984,10451.39
"18",2560,100,1.199,15002.9
"19",540,2,-0.288,1110.69
"20",1480,73,-1.585,8457.14
"21",1700,35,1.463,4476.02
"22",2440,34,-1.331,6170.47
"23",1020,71,0.731,7008.65
"24",2260,49,1.103,6807.75
"25",3640,18,0.064,7596.3
"26",3680,40,-0.082,8965.75
"27",1840,70,1.021,8470.59
"28",260,20,-1.117,1024.61
"29",3020,59,1.431,9379.38
"30",1080,41,0.746,3769.63
"31",3480,12,0.868,7019.11
"32",2920,14,-0.746,6106.72
"33",3840,27,-1.943,8601.85
"34",3060,70,-2.437,11266.42
"35",2760,13,-0.581,5740.01
"36",840,34,0.859,2757.4
"37",2320,97,-0.148,14059.75
"38",160,10,-0.78,497.26
"39",2960,100,0.961,15831.87
"40",2180,8,-0.534,4473.53
"41",2080,24,-1.076,4839.79
"42",3780,50,0.94,9964.06
"43",2460,52,-0.122,7638.66
"44",1400,50,-0.338,5341.13
"45",2980,13,1.103,6023.38
"46",1820,50,-1.018,6238.91
"47",1980,49,-0.495,6417.75
"48",1440,56,0.64,5957.04
"49",1020,71,0.731,7008.65
"50",3560,98,-0.454,16756.9
"51",1600,7,0.779,3165.45
"52",3280,26,0.812,7158.81
"53",160,10,-0.78,497.26
"54",1520,37,0.213,4384.74
"55",1200,14,2.393,2351.9
"56",2500,47,-0.071,7213.84
"57",1800,75,0.324,9201.99
"58",2540,67,-1.14,9676.98
"59",300,9,-1.51,826.5
"60",2360,40,-0.403,6356.87
"61",2000,95,-0.255,13041.94
"62",2960,100,0.961,15831.87
"63",2500,47,-0.071,7213.84
"64",2780,90,-2.426,13896.97
"65",2740,53,0.615,8225.48
"66",80,41,-0.661,1903.79
"67",60,62,-0.957,4055.24
"68",3120,21,0.387,6647.32
"69",3100,92,1.241,14536.45
"70",80,41,-0.661,1903.79
"71",540,2,-0.288,1110.69
"72",3380,19,-1.9,7316.58
"73",3320,6,1.398,6540.22
"74",2600,86,1.085,12489.11
"75",320,74,-0.616,6185.06
"76",2980,13,1.103,6023.38
"77",3760,31,-0.001,8479.7
"78",180,40,1.799,1775.15
"79",2900,11,-0.925,6013.48
"80",120,24,-1.148,928.77
"81",2260,49,1.103,6807.75
"82",1220,25,-0.96,3153.45
"83",3880,50,-1.523,10413.74
"84",2700,44,-2.411,7585.92
"85",3040,4,1.569,5945.03
"86",2360,40,-0.403,6356.87
"87",2080,24,-1.076,4839.79
"88",3140,52,1.116,8875.11
"89",3360,35,0.758,7859.31
"90",3760,31,-0.001,8479.7
"91",1880,11,0.188,3859.81
"92",3800,10,-0.16,7720.25
"93",3100,92,1.241,14536.45
"94",340,67,0.486,5119.13
"95",3520,83,-0.917,14028.96
"96",1620,58,-0.412,6643.54
"97",1260,73,0.388,7822.32
"98",2320,97,-0.148,14059.75
"99",2100,36,-0.144,5520.67
"100",2820,68,-0.075,10271.5
"101",560,12,1.286,1140.75
"102",3340,33,-2.009,7974.58
