SCHOOL,DISTRICT,TREATMENT,MATH_SCORE,READ_SCORE,PRIOR_MATH_SCORE,PRIOR_READ_SCORE,GENDER,SG_MATH_PROF,SG_READ_PROF
1,1,0,62.41540756,60.66273146,57.70976371,55.42373741,0,1,1
1,1,0,42.06018395,60.00447608,52.16401445,50.43956393,0,1,1
1,1,0,61.6479001,62.46757362,54.99371915,55.42373741,1,1,1
1,1,0,41.51382514,59.5661608,61.67928714,60.40791089,1,1,2
1,1,0,49.09637575,52.1666647,57.62474704,45.45539045,0,1,1
1,1,0,48.61066338,,59.33331592,50.43956393,1,1,1
1,1,0,68.18766878,85.74171309,61.10519056,70.37625785,0,1,2
1,1,0,,,39.65626192,,0,1,
1,1,0,34.02705463,47.79902588,75.20055828,70.37625785,0,2,2
1,1,0,53.15271957,65.20128295,64.70096673,70.37625785,1,1,2
1,1,0,51.34873166,72.82207881,78.95602838,65.39208437,1,2,2
1,1,0,41.49341485,58.72239791,61.03582774,60.40791089,0,1,2
1,1,0,67.63361129,69.3575409,62.56552521,60.40791089,1,1,2
1,1,0,56.26114725,77.96226698,65.71920076,57.91582415,1,2,1
1,1,0,61.57552435,66.33662974,56.33781984,60.40791089,1,1,2
1,1,0,65.97406525,70.95355991,62.61409996,60.40791089,1,1,2
1,1,0,65.68632687,76.24848094,76.44721434,,1,2,
1,1,0,48.19663713,55.91611539,47.55081205,42.96330371,0,1,1
1,1,0,69.82067874,71.87695403,74.08473139,85.3287783,1,2,3
1,1,0,41.20029034,54.07714373,,57.91582415,0,,1
1,1,0,50.18483264,64.40210168,70.42771129,,0,2,
1,1,0,12.41514047,49.4143794,60.78775521,62.89999763,1,1,2
1,1,0,35.07225862,59.90905193,51.65781872,,0,1,
1,1,0,37.51683389,63.27222795,64.78603369,65.39208437,1,1,2
1,1,0,,63.21544766,66.46642014,67.88417111,0,2,2
1,1,0,59.97179519,87.01718385,63.26269444,77.85251807,1,1,2
1,1,0,66.44992307,90.48832917,102.7807017,97.789212,0,3,3
1,1,0,43.91811599,67.2257621,63.8645395,67.88417111,1,1,2
1,1,0,72.81908059,76.47746501,46.39443498,57.91582415,1,1,1
1,1,0,58.61484305,,88.25324603,82.83669156,1,3,2
1,1,0,,81.12865695,63.78405738,72.86834459,1,1,2
1,1,0,,83.69875103,87.88547091,95.29712526,0,2,3
1,1,0,55.29235282,65.45906979,55.19929357,72.86834459,0,1,2
1,1,0,36.36752198,54.36935392,63.02951672,62.89999763,0,1,2
1,1,0,66.13435556,77.76548093,83.8707709,80.34460482,0,2,2
1,1,0,70.21300768,80.33557502,70.26727453,,0,2,
1,1,0,26.25946775,37.44839471,64.35605801,42.96330371,0,1,1
1,1,0,,84.55505907,91.8781858,87.82086504,0,3,3
