"","total_boulder_days","boulder_hours_per_day","treatment_chalk","v_level"
"1",53.8833325635642,0.718443005695008,0,55.3066759910586
"5",43.2089597075246,1.37928763858508,0,45.4899447379611
"6",67.3618122688495,0.939103700802661,1,70.2087848334655
"7",50.993882113602,2.47020540072117,1,55.1083067675901
"8",22.170755576808,2.80516275914852,1,27.2235052604313
"9",73.3018753174692,2.9203416320961,0,77.6589408629942
"11",71.235621935688,1.86299477040302,0,74.1426120872187
"14",20.0974005358294,0.52703808399383,1,20.987564006602
"15",15.2538664997555,3.97105256223585,1,21.8433435301972
"17",58.625634983182,0.953194235218689,0,59.915883932265
"18",67.3305937829427,3.01898301031906,0,72.0920829003155
"19",61.9347245031968,3.59134935715701,1,68.1655213845146
"21",71.9967791195959,3.49903383827768,0,77.6046335806507
"23",9.97044825227931,3.84466261905618,1,16.6752142601948
"24",55.6428143610246,2.3957636419218,0,60.0165439814714
"26",66.0576804215088,1.63836566195823,0,67.5428765449831
"27",50.7828959282488,2.44245617405977,0,54.2011406881845
"28",58.3093163440935,2.92382496944629,0,61.6059792076556
"31",12.9693089402281,1.21428761875723,1,16.0836976002898
"32",21.3099728040397,2.1187040861696,0,24.4430493303559
"33",15.9026617449708,2.25675989687443,1,19.9280132896173
"36",7.44209927367046,2.79062802856788,0,11.964538754841
"37",48.4384347833693,1.38765745726414,1,50.8316175459793
"38",7.96209218772128,0.923802653444,1,10.6263007390205
"39",26.8651921749115,3.90491641801782,1,33.5485335692028
"40",52.3660537316464,0.850098934955895,0,53.374773266082
"42",47.513640368823,2.92736623447854,1,52.7947757516247
"43",26.4173616124317,2.34622940432746,0,28.5956579184462
"44",35.5042113210075,0.6916321341414,0,36.718590185515
"46",18.6471043089405,3.23182075796649,0,23.6121215995717
"48",10.7438639439642,2.15017723524943,0,14.5071155699578
"51",23.5977589245886,0.692088697338477,0,25.1718933647363
"53",56.9593468764797,1.60639252816327,1,61.2466278004481
"54",9.0834360960871,1.32108760962728,1,11.7344418422526
"58",6.34866191679612,1.49016961315647,1,10.0245242744898
"60",22.073271679692,2.62483888596762,1,27.3524901286509
"62",9.9898595563136,1.13953214103822,1,12.7837861194338
"63",67.0588694340549,3.73890996328555,1,74.9174441364248
"64",64.5679733725265,1.04007477662526,0,66.5868090477157
"65",48.3534965747967,3.62564576137811,1,54.4714717618509
"68",52.1619701017626,1.66886508732568,1,56.107760027499
"69",45.9265168416314,3.46848643524572,0,52.2911039428673
"71",64.5360442227684,2.25223658059258,0,68.167167641392
"72",25.4647728274576,2.49341158627067,1,31.3580230378046
"73",42.2512037707493,3.60515494947322,0,47.8491861703702
"79",52.9808600787073,1.81554388231598,1,57.3068415880404
"80",14.9198955302127,1.3278270221781,1,18.3061737105552
"85",40.5346685405821,0.50252593215555,1,43.6650136485601
"86",68.0008800840005,2.87951525382232,0,72.0209769166617
"87",54.538260138128,3.80030794499908,1,60.9718613275914
"88",74.0337692499161,3.46274324925616,1,80.7899614351136
"89",26.2114102737978,1.95867098635063,0,29.3429593075215
"94",22.353727302514,2.71238935936708,0,26.3295856396238
"95",35.8319481867366,2.995368924574,1,41.2428407136162
"101",11.263191266451,0.597371104056947,1,12.6623689808815
"102",35.1003560111858,3.69985637825448,1,40.5150071788608
"104",10.867137407884,0.839086784399115,0,11.8669735857399
"106",28.7872014702298,3.68324533407576,1,35.5837454096595
"107",20.4670307314955,1.1697853486985,1,23.5759004074894
"109",12.4775610850193,1.72404406929854,1,15.984364734592
"114",73.7425158163533,2.91950471745804,1,78.6900301165667
"116",12.3737348485738,2.02734552836046,0,15.4373339323267
"118",29.1846268116497,2.75104853580706,0,33.4667430482234
"119",20.1496210880578,1.3090506993467,0,21.0155016587482
"122",25.3542294418439,0.500011683325283,1,27.6639398470877
"124",2.2351918197237,3.15959983575158,1,9.0147754075667
"125",66.5682274866849,1.1925191154005,1,69.8893109777411
"127",55.2902264692821,0.828437236603349,1,58.2565844356785
"128",33.4416278675199,2.88335846969858,1,39.1849229652163
"129",11.7815172122791,1.23675048828591,1,14.7086675666311
"133",57.037672501523,1.95879515865818,1,61.8439947898257
"134",50.1289092032239,2.42783655051608,1,53.9757194760394
"135",15.6169798560441,3.79596711252816,0,20.5995815668998
"136",51.0805845507421,3.81148640345782,0,57.1711728250271
"137",36.9227704722434,1.25111594959162,1,39.6340171633212
"138",69.9983120285906,1.03197505243588,0,71.6770435036814
"140",50.8892984525301,0.651099663577043,1,52.2767217086044
"141",48.1918112016283,3.84746662364341,0,55.0143687680919
"142",57.7130584320985,2.36243463284336,1,62.5853590084341
"143",10.3317121802829,2.05873991746921,0,12.9065522535253
"147",9.04355894122273,1.60063482134137,0,10.0492181089413
"151",41.1662972746417,2.78897273517214,1,45.7965603960459
"152",67.1326915174723,1.61727278109174,0,70.39766380208
"154",69.8188206898049,3.68970788759179,0,75.1446035740359
"157",18.5364059442654,2.65283859148622,0,22.3019578552455
"159",19.2408034899272,0.918859114754014,0,20.2490311400865
"163",26.6582735739648,1.37858575733844,1,29.7835729875086
"167",14.1850808067247,1.30989021353889,0,16.5529354042809
"168",27.9664990222082,2.55448353092652,1,33.298194009648
"171",6.04094555461779,2.14621925191022,1,10.0893130119075
"172",59.3244294370525,2.21062050177716,0,62.7931211776021
"179",55.2198901483789,3.44898105971515,0,60.8504020274103
"181",74.3689592215233,1.89817568310536,1,77.3452585434762
"184",30.7955168387853,3.42897963221185,1,37.331072369123
"185",6.20053284382448,1.72756505210418,0,9.15260457216626
"187",49.6837354074232,2.2999964391347,1,53.5536192370608
"188",10.0205882084556,3.74979167815764,1,16.0820197887055
"192",5.93819640111178,0.617569349589758,1,7.40436809713806
"195",44.4946090052836,1.9134063012898,1,48.9036939047651
"198",12.8429272631183,0.873615310061723,1,15.5009639182622
